Event Root Code	Year	Avg. Avg Tone	Num Articles
15	1987	3.428889850	23
14	1990	3.432225425	30
14	1981	3.435034981	15
09	1994	3.438382885	571
17	1989	3.448167975	143
19	1997	3.466324403	5,108
15	1997	3.475066651	778
16	1992	3.481737885	148
20	2014	3.502702361	358
19	1991	3.504924704	1,039
17	2003	3.511357921	32,418
09	1984	3.540546632	110
07	1987	3.556434402	226
14	1992	3.556647101	173
17	2004	3.559629233	17,775
06	1979	3.561202929	277
19	2002	3.561654690	22,800
19	1995	3.564701797	1,880
13	1992	3.572915340	175
04	1987	3.580358817	3,075
20	2006	3.582435997	22
14	1997	3.600773074	2,092
17	2001	3.606907528	15,274
19	2007	3.608443430	17,307
14	1991	3.617932405	184
13	1984	3.625301089	66
18	1994	3.626768902	396
14	1998	3.633423451	17,874
18	2002	3.639680251	5,093
17	2002	3.640126913	19,828
17	1987	3.644639590	210
17	2000	3.644949479	18,760
15	1996	3.669612425	746
09	1988	3.678083786	109
14	1982	3.680159349	30
18	2007	3.693106393	2,835
06	1989	3.694884241	276
17	2005	3.697439494	11,520
19	2010	3.699297270	63,420
09	1991	3.704659107	385
17	1986	3.709622927	412
19	2009	3.710104804	83,470
18	2004	3.710910325	4,016
19	1990	3.723565161	308
09	2012	3.725487332	35,670
09	2002	3.729723147	5,974
07	1981	3.737340792	189
17	1983	3.743278273	274
18	2005	3.746248329	3,112
17	1982	3.747208188	292
16	1983	3.747339146	29
16	1985	3.753680692	68
18	2011	3.766414283	25,095
17	2009	3.773905919	60,356
18	1985	3.776078880	93
17	2010	3.780009874	75,165
09	2000	3.791750472	8,450
09	2004	3.794276417	4,513
09	2003	3.800397014	7,847
18	1991	3.804474604	167
03	1987	3.807178135	1,017
18	2006	3.807740804	1,863
09	2001	3.809335759	4,948
08	1983	3.810091388	120
17	1997	3.813429764	7,244
18	2010	3.814685534	15,004
03	1982	3.815024670	485
18	2009	3.820419668	16,992
19	2006	3.822500529	8,218
09	2007	3.824695760	9,225
12	1983	3.826264019	136
19	2011	3.832036429	104,196
14	1994	3.832530917	1,364
09	1995	3.832875554	964
17	2007	3.835626733	18,059
09	1985	3.837829683	98
14	1995	3.849596643	1,006
17	2006	3.851414816	9,803
18	1992	3.851903145	117
10	1984	3.865757231	91
16	1981	3.866137575	41
16	1982	3.875656984	114
14	2000	3.885765988	5,557
14	1980	3.886614315	53
18	1989	3.891440058	65
20	1998	3.892150712	114
19	2005	3.898071190	14,380
11	1983	3.899912507	250
13	1987	3.900257617	56
15	1995	3.902789563	269
15	2001	3.907247834	3,587
17	2011	3.908154501	110,474
11	1991	3.909549922	767
13	1985	3.914229731	92
17	1998	3.938968598	15,118
09	1996	3.939395040	2,153
17	1988	3.939660305	256
14	1999	3.945885819	10,077
13	1994	3.946030152	741
14	2002	3.947834303	1,962
15	2012	3.956634257	5,180
15	2000	3.959813738	2,892
10	1988	3.967702748	116
15	2008	3.975852837	2,119
14	2001	3.980210847	5,039
17	1981	3.982915968	124
14	2012	3.992221490	23,686
17	1995	3.993627869	3,335
09	2009	4.000362574	30,370
09	1981	4.002882398	52
15	1998	4.004432186	2,599
10	1979	4.005009347	75
19	1982	4.011329056	165
11	2003	4.014355879	27,446
14	2003	4.015065560	4,840
03	1988	4.020015746	1,920
17	2008	4.021597498	28,360
01	1992	4.025398318	2,335
11	1992	4.025865888	564
09	1997	4.028940610	1,996
18	1995	4.033549390	501
06	1995	4.034554084	812
17	1994	4.038782839	4,278
02	1979	4.040359009	393
06	1992	4.045762080	641
13	1991	4.045957465	106
18	2008	4.047354159	5,017
06	1994	4.053043311	1,128
13	1980	4.055419327	34
09	1982	4.062757571	145
02	1993	4.070219216	2,472
15	1994	4.072876439	253
16	2010	4.074868694	25,261
17	1984	4.079060288	254
17	1990	4.080432810	206
07	1982	4.081823781	151
12	1991	4.096488342	395
15	1999	4.101155195	3,647
07	1992	4.101654391	432
07	1990	4.106200249	276
11	1979	4.120645266	120
14	2005	4.122347104	1,332
07	1994	4.123242793	1,116
19	1993	4.123758452	768
18	1982	4.125703282	45
19	2008	4.128386206	18,981
04	1980	4.129045294	1,411
17	1979	4.137646481	40
01	1990	4.139103447	1,165
01	1987	4.144357154	984
09	2010	4.147375473	33,203
11	1981	4.149225157	160
15	2010	4.149712088	7,182
08	1987	4.149754399	89
17	1999	4.152286363	16,658
11	1984	4.156827585	418
10	1980	4.158474724	27
15	1983	4.166666667	9
11	2000	4.179254059	23,111
13	2000	4.180710384	6,754
08	1981	4.182518596	181
04	1992	4.185079723	5,169
13	1998	4.185748384	5,061
06	1991	4.188185538	403
14	1993	4.191725704	494
10	1993	4.193036635	364
17	1996	4.199726005	7,615
09	2011	4.201745319	26,972
10	1986	4.207474171	81
09	2006	4.209550169	2,927
15	2007	4.220479718	1,558
14	1996	4.228278772	1,991
01	2000	4.229262696	48,076
19	1989	4.229866563	219
13	2012	4.231359167	21,749
11	2002	4.233731951	18,144
09	1998	4.234318231	6,794
01	1993	4.235372419	3,925
12	1984	4.236908047	208
01	2003	4.237421696	46,904
10	1981	4.237599900	65
20	1992	4.241875995	67
15	2006	4.245219690	1,322
04	1979	4.248066613	1,959
10	1982	4.252098898	67
01	1991	4.256036434	2,621
04	1988	4.272794888	5,630
01	1994	4.273075736	6,114
07	1980	4.273528318	58
03	1986	4.275990915	1,205
04	1993	4.276875174	7,835
16	1980	4.278197450	40
14	1985	4.280090711	23
16	2002	4.282351369	2,169
16	1991	4.284312844	237
09	2005	4.286625766	4,084
03	1992	4.301703470	1,976
01	2002	4.305782031	34,661
11	1988	4.307903662	331
02	1990	4.310013830	598
09	1999	4.325573933	8,060
03	1989	4.326114012	1,182
13	1988	4.327121497	40
19	1996	4.329555517	4,400
14	1988	4.337165758	50
03	1990	4.338441436	1,197
16	2000	4.341999237	4,673
02	1994	4.358215908	3,393
01	1981	4.359063208	590
14	2009	4.359334456	10,038
11	2001	4.360779040	23,133
14	1983	4.368160284	20
01	1989	4.370339542	1,208
10	1994	4.372918837	847
13	2002	4.373464640	4,095
01	1997	4.375971338	17,292
01	1979	4.378747784	681
08	2000	4.380203845	12,323
04	1989	4.382933912	4,114
11	2004	4.383687079	17,037
15	2002	4.383703324	1,733
14	2010	4.383979590	11,364
16	2011	4.389722321	13,450
13	2003	4.389823720	6,813
09	1987	4.392544738	118
13	2010	4.400072959	13,792
19	1987	4.403903874	123
04	1986	4.414599216	4,608
16	2012	4.416272413	11,710
01	2001	4.419822284	43,548
06	2003	4.423479513	4,459
01	1988	4.424593771	1,871
14	2006	4.429581934	3,218
16	2003	4.437887598	3,429
13	2008	4.443084264	5,754
15	2003	4.445874391	3,140
01	1986	4.459709472	952
14	2008	4.460611461	4,252
01	1995	4.462988585	5,879
02	1981	4.463778537	279
15	2004	4.464878601	1,616
12	1980	4.466615129	63
04	1991	4.469375652	6,100
09	2008	4.469453761	7,702
09	1979	4.469601120	17
13	2009	4.471479422	14,422
06	2000	4.475722061	4,006
18	1988	4.476833780	53
15	2005	4.477262338	1,544
11	2012	4.477703406	72,196
08	1993	4.478358365	625
02	1986	4.479382285	512
08	2003	4.482614954	11,123
02	1988	4.486732774	919
02	1992	4.488287030	1,391
15	2011	4.489370299	7,314
20	2002	4.491652769	94
14	2007	4.492120078	2,152
11	1994	4.493016013	3,130
18	1983	4.495876944	48
19	1983	4.497836116	220
13	2005	4.498574765	3,465
04	1990	4.501677979	3,906
03	1981	4.502808189	389
01	2006	4.502862393	21,170
16	2007	4.508162413	2,610
13	2006	4.509520413	2,130
03	1991	4.511049412	2,057
16	2001	4.518614204	3,799
07	1986	4.518716335	144
01	2007	4.520727244	51,812
16	1988	4.523000981	139
13	2007	4.524936366	4,033
11	1995	4.529310579	2,897
03	1993	4.530487978	2,492
20	2003	4.533839586	67
11	1997	4.535571138	6,682
02	1989	4.539424437	510
11	1998	4.540184364	17,662
10	2000	4.543402229	6,873
07	1995	4.547749527	858
12	2003	4.548102136	9,969
10	1990	4.552974811	67
11	2007	4.553100441	19,074
11	2005	4.554446840	12,401
08	1997	4.555026977	2,118
20	2011	4.559212033	134
11	2009	4.560328839	52,304
11	2010	4.566248599	57,673
06	1984	4.567015155	177
10	1995	4.568876663	618
11	2006	4.572651683	9,225
07	2000	4.576836004	7,480
01	2012	4.578968430	190,535
07	1983	4.579735356	184
04	2000	4.580738057	67,073
